iter	Passed	Remaining
398	106896	107431
399	107175	107175
400	107474	106938
401	107742	106670
402	108034	106426
403	108297	106153
404	108440	105763
405	108692	105479
406	108837	105093
407	109153	104872
408	109437	104621
409	109730	104377
410	109904	104021
411	110224	103803
412	110492	103536
413	110757	103266
414	111070	103040
415	111356	102790
416	111616	102516
417	111896	102259
418	112152	101981
419	112453	101743
420	112683	101442
421	112845	101079
422	113079	100782
423	113391	100554
424	113653	100282
425	113845	99949
426	114079	99652
427	114280	99327
428	114513	99031
429	114835	98811
430	115037	98488
431	115326	98241
432	115577	97960
433	115854	97702
434	116049	97374
435	116255	97057
436	116530	96797
437	116805	96537
438	117108	96301
439	117417	96068
440	117652	95775
441	117925	95513
442	118191	95246
443	118481	94999
444	118758	94740
445	119018	94467
446	119240	94165
447	119528	93915
448	119673	93553
449	119853	93219
450	120133	92963
451	120299	92620
452	120575	92361
453	120910	92147
454	121117	91836
455	121373	91562
456	121657	91309
457	121957	91068
458	122183	90772
459	122446	90504
460	122713	90238
461	122899	89913
462	123154	89639
463	123491	89425
464	123655	89085
465	123942	88834
466	124281	88620
467	124568	88369
468	124866	88125
469	125119	87849
470	125372	87574
471	125677	87335
472	125986	87098
473	126222	86810
474	126494	86548
475	126648	86205
476	126887	85921
477	127112	85627
478	127334	85332
479	127595	85063
480	127748	84722
481	128035	84471
482	128339	84231
483	128522	83911
484	128788	83646
485	129036	83369
486	129299	83102
487	129593	82854
488	129885	82606
489	130119	82320
490	130324	82016
491	130524	81710
492	130765	81430
493	130983	81135
494	131132	80798
495	131391	80530
496	131652	80263
497	131904	79990
498	132178	79731
499	132413	79448
500	132669	79177
501	132896	78890
502	133103	78591
503	133369	78328
504	133619	78054
505	133839	77764
506	134056	77472
507	134376	77240
508	134687	77002
509	134880	76696
510	135153	76437
511	135463	76198
512	135711	75924
513	136025	75687
514	136191	75368
515	136487	75120
516	136783	74873
517	136941	74551
518	137210	74289
519	137377	73972
520	137598	73685
521	137759	73366
522	137908	73041
523	138057	72717
524	138200	72390
525	138347	72067
526	138497	71745
527	138728	71466
528	138949	71182
529	139245	70936
530	139540	70690
531	139859	70455
532	140081	70172
533	140333	69903
534	140539	69613
535	140841	69369
536	141100	69104
537	141339	68830
538	141506	68521
539	141654	68203
540	141952	67958
541	142234	67705
542	142501	67445
543	142677	67142
544	142823	66825
545	143088	66565
546	143236	66250
547	143464	65972
548	143674	65687
549	143933	65424
550	144186	65158
551	144414	64881
552	144579	64576
553	144739	64270
554	145037	64025
555	145293	63761
556	145443	63452
557	145709	63193
558	145983	62937
559	146253	62680
560	146534	62427
561	146747	62145
562	146914	61845
563	147057	61534
564	147295	61264
565	147553	61002
566	147828	60748
567	148102	60492
568	148345	60224
569	148488	59916
570	148661	59620
571	148931	59364
572	149150	59087
573	149361	58807
574	149654	58560
575	149840	58271
576	150104	58012
577	150262	57713
578	150535	57458
579	150781	57193
580	150932	56891
581	151091	56594
582	151327	56325
583	151486	56029
