State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,DRY CHILLIES,Whole Year,3.4969455285932463,235.72,824.3,1,72.91416731715594,0,429,37,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,DRY GINGER,Rabi,9.198545454545455,110.0,1011.84,1,38.619127272727276,0,429,38,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,DRY GINGER,Whole Year,5.288478936994628,264.88666666666666,1057.6666666666667,3,82.93908736219677,0,429,38,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,GROUNDNUT,Rabi,1.431578947368421,4.75,6.8,1,2.383947368421053,0,429,43,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,MAIZE,Rabi,1.1118800461361016,86.7,96.4,1,26.777128027681663,0,429,59,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,MOONG(GREEN GRAM),Rabi,0.47625363683039534,1168.6,556.55,1,350.96575218209824,0,429,63,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,OTHER KHARIF PULSES,Kharif,0.573367618829327,543.0,323.5,2,163.44402057129759,0,429,75,0
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,OTHER OILSEEDS,Whole Year,0.5071599549125481,84.31,38.2,2,25.797295972947527,0,429,77,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,RICE,Kharif,2.8678911646132614,8535.575,24502.405,4,2562.793234698768,0,429,98,0
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,SUGARCANE,Kharif,12.126005727533071,73.33,889.2,1,29.37460343651984,0,429,109,0
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,SUGARCANE,Whole Year,25.634897477924145,97.76666666666667,2538.3333333333335,3,45.01093848675448,0,429,109,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,SUNFLOWER,Rabi,0.6551724137931034,2.9,1.9,1,1.3631034482758622,0,429,110,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,SWEET POTATO,Rabi,4.4036697247706424,109.0,480.0,1,35.44220183486238,0,429,111,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,SWEET POTATO,Whole Year,6.285897435897436,69.33333333333333,362.6666666666667,3,24.87153846153846,0,429,111,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TAPIOCA,Whole Year,8.66968100019275,200.5,1627.6666666666667,3,65.65180860011564,0,429,112,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TURMERIC,Rabi,5.536764705882353,68.0,376.5,1,23.82205882352941,0,429,117,1
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,TURMERIC,Whole Year,6.0,68.0,408.0,1,24.1,0,429,117,2
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,URAD,Rabi,0.43302501179801794,1059.5,458.79,1,318.2098150070788,0,429,119,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,ARECANUT,Rabi,0.9937238493723849,1912.0,1900.0,1,574.2962343096235,0,559,2,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,ARECANUT,Whole Year,1.3463611849267854,2926.8900000000003,3966.532,5,879.3748167109562,0,559,2,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,ARHAR/TUR,Rabi,0.6439024390243903,20.5,13.2,1,6.636341463414634,0,559,3,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,BANANA,Whole Year,8.980943620967833,1244.3166666666666,9955.421666666667,6,379.28356617258066,0,559,7,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,BLACK PEPPER,Rabi,0.2396088019559902,409.0,98.0,1,122.94376528117358,0,559,15,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,BLACK PEPPER,Whole Year,0.14143488364519402,524.71,73.47200000000001,5,157.99786093018713,0,559,15,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,CASHEWNUT,Rabi,0.7,15.0,10.5,1,5.02,0,559,22,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,CASHEWNUT,Whole Year,0.26363794893604,102.4,26.292,5,31.378182769361622,0,559,22,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,COCONUT,Whole Year,3889.255310589217,5900.04,23310000.0,6,4104.165186353531,0,559,28,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,DRY CHILLIES,Rabi,1.15625,128.0,148.0,1,39.19375,0,559,37,1
